epoch,train_total_loss,train_gate_loss,train_residual_loss,train_zero_loss,dev_total_loss,dev_gate_loss,dev_residual_loss,dev_zero_loss
61,0.6464749276638031,0.5508707165718079,0.0929719507694244,0.0105289723724126,0.721003532409668,0.6297681331634521,0.0886725783348083,0.0102511690929532
62,0.6356057524681091,0.5361402630805969,0.0968373753130436,0.0105123985558748,0.7278071641921997,0.6365152597427368,0.0886183455586433,0.0106943193823099
63,0.6422612071037292,0.5498482584953308,0.0896080248057842,0.0112196509726345,0.7393751740455627,0.6481135487556458,0.0885064303874969,0.0110208634287118
64,0.6276662349700928,0.5361822247505188,0.0885232649743557,0.0118429511785507,0.7498829960823059,0.6585037708282471,0.0885834768414497,0.0111831147223711
65,0.6385819613933563,0.5406478047370911,0.0949454233050346,0.0119549776427447,0.7484062910079956,0.6569547653198242,0.0886686667799949,0.0111315576359629
66,0.5824923515319824,0.4912730902433395,0.0884945392608642,0.0108989239670336,0.7456854581832886,0.6539309024810791,0.0889966040849685,0.0110318465158343
67,0.6284498572349548,0.537929117679596,0.0875162258744239,0.0120179806835949,0.7490500807762146,0.6570327281951904,0.0893486514687538,0.0106747942045331
68,0.5866566598415375,0.4866566061973572,0.0973766222596168,0.0104936817660927,0.7508063316345215,0.6587127447128296,0.0894391983747482,0.010617502965033
69,0.5911744832992554,0.5046698898077011,0.0836557410657405,0.0113952551037073,0.744759202003479,0.6525750160217285,0.0894969031214714,0.0107491435483098
70,0.580190122127533,0.4904031008481979,0.0868098586797714,0.011908596381545,0.7412335276603699,0.6489440202713013,0.0897199511528015,0.0102783218026161
71,0.5741506814956665,0.4802719950675964,0.0911355018615722,0.0109726763330399,0.7460840344429016,0.6535082459449768,0.0901654288172721,0.0096414787694811
72,0.6038355827331543,0.4949552118778229,0.1060784049332141,0.0112079344689846,0.7590031623840332,0.6659621596336365,0.090596005320549,0.0097798509523272
73,0.5770407021045685,0.4816356301307678,0.0925497449934482,0.0114214103668928,0.7771703004837036,0.683924674987793,0.0908012092113494,0.0097774928435683
74,0.5441899597644806,0.4434250593185425,0.098307903856039,0.0098279193043708,0.7972012162208557,0.7036684155464172,0.0911149159073829,0.0096715195104479
75,0.53617262840271,0.4435124397277832,0.0901831723749637,0.0099081234075129,0.8164463043212891,0.7230119705200195,0.091020219027996,0.0096563594415783
76,0.5615567564964294,0.460570216178894,0.0984074473381042,0.0103163733147084,0.8234153389930725,0.7298765182495117,0.0909851118922233,0.0102147692814469
77,0.4967530965805053,0.4056476801633835,0.0885941870510578,0.0100448750890791,0.8261142373085022,0.7324641942977905,0.090945228934288,0.0108192469924688
78,0.4982193410396576,0.4043701589107513,0.0913252122700214,0.0100958934053778,0.8311188220977783,0.7375310659408569,0.0907032191753387,0.0115379719063639
79,0.4774945825338363,0.3876883536577225,0.0872146897017955,0.0103661706671118,0.8318113684654236,0.738566517829895,0.0903559029102325,0.011556027457118
80,0.4798636585474014,0.3856216520071029,0.0917574428021907,0.0099383129272609,0.8418235182762146,0.7491645812988281,0.0900134742259979,0.0105816135182976
81,0.5435248911380768,0.4465429782867431,0.0942202173173427,0.0110467267222702,0.8606768846511841,0.7685811519622803,0.0898429751396179,0.0090111074969172
82,0.4703252166509628,0.372698426246643,0.0956316851079464,0.0079805173445492,0.884634792804718,0.7926859855651855,0.0899591147899627,0.0079586533829569
83,0.4857081025838852,0.4027993083000183,0.0807801410555839,0.0085146538913249,0.913481056690216,0.8216263651847839,0.0900782123208046,0.0071059134788811
84,0.4624070972204208,0.3706613183021545,0.0900474116206169,0.0067934191320091,0.9300981760025024,0.8384398221969604,0.0899653360247612,0.006771967280656
85,0.4470564275979996,0.3681098520755768,0.0772014632821083,0.0069804415106773,0.9309369921684264,0.8396049737930298,0.0896652191877365,0.0066670626401901
86,0.4855542033910751,0.413385733962059,0.0700601041316986,0.0084335270803421,0.9244424700737,0.8333527445793152,0.089502215385437,0.0063500897958874
87,0.471859723329544,0.3746299147605896,0.0955443419516086,0.006741777760908,0.9125382900238036,0.8212912082672119,0.0896516144275665,0.0063819135539233
88,0.4349560141563415,0.3398647904396057,0.0934936963021755,0.0063900675158947,0.9029009342193604,0.8113768100738525,0.0897335261106491,0.0071623339317739
89,0.4970038533210754,0.405583992600441,0.0892304368317127,0.0087576392106711,0.9269186854362488,0.8353548049926758,0.089565023779869,0.0079952580854296
90,0.4299089163541794,0.3473032861948013,0.080595888197422,0.0080389119684696,0.956614315509796,0.8647860884666443,0.0896122232079505,0.0088638579472899
91,0.4158537238836288,0.3218594342470169,0.0918957814574241,0.0083939875476062,0.9911856055259703,0.8988167643547058,0.089964859187603,0.0096160043030977
92,0.3826759308576584,0.2963649481534958,0.0844738818705082,0.0073484203312546,1.03554368019104,0.9427919983863832,0.0902946218848228,0.0098278596997261
93,0.4041306674480438,0.320068359375,0.0819605104625225,0.0084071697201579,1.0696732997894287,0.9768216609954834,0.0904490649700164,0.0096101649105548
94,0.3898332864046097,0.3070262223482132,0.0806939378380775,0.0084525030106306,1.1036418676376345,1.0108176469802856,0.0905761048197746,0.0089927855879068
95,0.3851139992475509,0.2995339184999466,0.0835429690778255,0.0081485260743647,1.100222945213318,1.007269263267517,0.0908252745866775,0.0085134636610746
96,0.3627254515886307,0.278305172920227,0.0826303400099277,0.007159738568589,1.0896282196044922,0.996657133102417,0.090961255133152,0.0080393245443701
97,0.3625860959291458,0.263917788863182,0.096871517598629,0.0071871660184115,1.090264081954956,0.997208535671234,0.0911206528544426,0.0077396710403263
98,0.3068276643753052,0.2170393094420433,0.0883158855140209,0.0058898706920444,1.1054978370666504,1.0127228498458862,0.0909163951873779,0.0074343960732221
99,0.4127824753522873,0.3160995244979858,0.0945388078689575,0.008576535154134,1.1448054313659668,1.0523186922073364,0.0906136706471443,0.0074922917410731
100,0.3361295014619827,0.2498246356844902,0.0845667123794555,0.0069525628350675,1.1898670196533203,1.0974973440170288,0.0904993861913681,0.0074809058569371
1,1.6293044686317444,1.5220012664794922,0.1072998158633709,1.3529430361813866e-05,1.6093610525131226,1.5168240070343018,0.0925126522779464,9.770072938408704e-05
2,1.6143454909324646,1.5144273042678833,0.0998757816851139,0.0001699043750704,1.599224328994751,1.5078084468841553,0.0913072079420089,0.0004350644594524
3,1.5996738076210022,1.504629373550415,0.0948731526732444,0.0006851759098935,1.586247801780701,1.4959735870361328,0.0899862647056579,0.0011517764069139
4,1.589689016342163,1.4910188913345337,0.0981993488967418,0.0018830799963325,1.5702816247940063,1.4809364080429075,0.0887092649936676,0.0025439644232392
5,1.567043662071228,1.4751313924789429,0.0909713245928287,0.0037636136403307,1.5513020753860474,1.4621726274490356,0.0879091620445251,0.0048812944442033
6,1.536858320236206,1.4545711278915403,0.0805379785597324,0.0069967878516763,1.5291476249694824,1.4394630193710327,0.087632916867733,0.008206850849092
7,1.523238241672516,1.4302984476089478,0.0901427343487739,0.0111880889162421,1.5035643577575684,1.4125313758850098,0.0878742560744285,0.0126347495242953
8,1.487072467803955,1.4013805985450745,0.0817410312592983,0.0158034954220056,1.474657654762268,1.381516456604004,0.0888194516301155,0.017286617308855
9,1.4462704062461853,1.364159882068634,0.0769678391516208,0.0205706348642706,1.4418915510177612,1.3467462062835691,0.0899165645241737,0.0209151711314916
10,1.4363787174224854,1.3353047966957092,0.0946576446294784,0.0256652357056736,1.4049041271209717,1.308538556098938,0.0906853377819061,0.0227207485586404
11,1.384831964969635,1.2957372069358826,0.0821174643933773,0.0279092174023389,1.363814115524292,1.2676159143447876,0.0906903147697448,0.022031795233488
12,1.3405247926712036,1.2458430528640747,0.0885260254144668,0.0246226219460368,1.3194116353988647,1.2246733903884888,0.0899842232465744,0.0190162323415279
13,1.2905346751213074,1.2028746604919434,0.0827936567366123,0.01946556661278,1.273079514503479,1.180437684059143,0.0889224857091903,0.0148771591484546
14,1.2561742663383484,1.167616367340088,0.0848243571817874,0.0149342720396816,1.2263689041137695,1.1358637809753418,0.0877595096826553,0.0109825171530246
15,1.2187533974647522,1.117457091808319,0.0985966250300407,0.0107987741939723,1.1810293197631836,1.0918138027191162,0.086763359606266,0.009808400645852
16,1.192887306213379,1.0803977251052856,0.1099875979125499,0.0100079677067697,1.138832926750183,1.0493872165679932,0.0868896320462226,0.0102244168519973
17,1.1328188180923462,1.03485107421875,0.0952131561934948,0.011018649674952,1.099707841873169,1.0093837976455688,0.0873215869069099,0.0120097268372774
18,1.091929912567139,0.9959926009178162,0.0928464271128177,0.0123634254559874,1.0630831718444824,0.9718642234802246,0.0878879278898239,0.013324424624443
19,1.0488319993019104,0.9569342732429504,0.0885790027678012,0.0132750286720693,1.029212474822998,0.9370734691619872,0.088694043457508,0.013779710046947
20,1.0318442583084106,0.9252901375293732,0.1030776500701904,0.01390609331429,0.9990431666374208,0.9050375819206238,0.0902091711759567,0.0151857063174247
21,0.989448755979538,0.9019156694412231,0.0836379379034042,0.0155806518159806,0.9713194966316224,0.8757335543632507,0.0916265845298767,0.0158374663442373
22,0.9663680195808412,0.8712555766105652,0.0911270529031753,0.0159415286034345,0.9451307654380798,0.8491193056106567,0.0922285467386245,0.0151317594572901
23,0.9356391429901124,0.843323826789856,0.0886139310896396,0.0148055804893374,0.9201982617378236,0.825098991394043,0.0917277485132217,0.0134862102568149
24,0.9049639701843262,0.8182637393474579,0.0835878849029541,0.0124494810588657,0.8964996337890625,0.8033930659294128,0.0903122797608375,0.0111770564690232
25,0.8920480012893677,0.8000856637954712,0.0892547667026519,0.0108301979489624,0.8753595352172852,0.7840147614479065,0.0890661999583244,0.009114152751863
26,0.8660097718238831,0.7785243988037109,0.0853434093296527,0.0085678603500127,0.8568083643913269,0.7667086124420166,0.0879921242594719,0.0084304306656122
27,0.8559927940368652,0.7660540342330933,0.0877636671066284,0.00870041269809,0.8413023352622986,0.7514265179634094,0.0876945331692695,0.0087252398952841
28,0.8418532907962799,0.74748095870018,0.0921675525605678,0.0088191251270473,0.8284521698951721,0.7379571199417114,0.088016539812088,0.0099141513928771
29,0.8368641138076782,0.7367041110992432,0.0974777601659298,0.0107289687730371,0.8180084228515625,0.7261614203453064,0.0886977687478065,0.0125969592481851
30,0.8233875334262848,0.7312321662902832,0.0886929184198379,0.0138497799634933,0.8091636300086975,0.7160569429397583,0.0894018113613128,0.0148194776847958
31,0.7998197972774506,0.709595113992691,0.0865684822201728,0.0146249192766845,0.8016095161437988,0.7072255611419678,0.090605042874813,0.0151157025247812
32,0.8172354400157928,0.7142544388771057,0.0990789271891117,0.0156082971952855,0.7955056428909302,0.6996611952781677,0.0920223370194435,0.0152883827686309
33,0.7988785207271576,0.700847715139389,0.0942611545324325,0.0150787439197301,0.7896738648414612,0.693207859992981,0.0927119627594947,0.0150160966441035
34,0.7833819687366486,0.6984070241451263,0.0812122970819473,0.0150506044737994,0.7839407920837402,0.687662661075592,0.0927617475390434,0.0140655459836125
35,0.7832916975021362,0.6922886073589325,0.087545670568943,0.0138295330107212,0.7786398530006409,0.6828161478042603,0.092754915356636,0.0122753335162997
36,0.7794220745563507,0.6879748404026031,0.0884737111628055,0.0118941930122673,0.7727774381637573,0.6785040497779846,0.091712400317192,0.0102439876645803
37,0.7687362134456635,0.6805533766746521,0.0856937654316425,0.0099564213305711,0.7670032978057861,0.6744844913482666,0.0901882201433181,0.009322328492999
38,0.7762819528579712,0.683325856924057,0.0906066671013832,0.0093977814540266,0.7619524598121643,0.6704810857772827,0.0891799628734588,0.0091655096039175
39,0.7684448957443237,0.6758487224578857,0.0902647040784359,0.0093258670531213,0.7570962905883789,0.6664624214172363,0.0882114171981811,0.0096898498013615
40,0.768142819404602,0.6721424162387848,0.0934849679470062,0.0100616817362606,0.752676248550415,0.6621352434158325,0.0879102647304534,0.0105227390304207
41,0.7475256323814392,0.6603095829486847,0.0845159478485584,0.0108003583736717,0.7479838728904724,0.6569638252258301,0.0882320553064346,0.0111521389335393
42,0.762666255235672,0.6664802730083466,0.0932722650468349,0.0116548398509621,0.7432703375816345,0.6510004997253418,0.0891869440674781,0.0123315919190645
43,0.75096794962883,0.654161125421524,0.093578428030014,0.0129136531613767,0.7371345162391663,0.6439728736877441,0.0898388773202896,0.0132910097017884
44,0.7432663440704346,0.6530515551567078,0.0867800153791904,0.0137391150929033,0.7298547625541687,0.6368541717529297,0.0897183269262313,0.0131290694698691
45,0.7238949835300446,0.6390714049339294,0.0814387537539005,0.0135392565280199,0.7230713963508606,0.6309489011764526,0.0891478657722473,0.011898573487997
46,0.7246091067790985,0.6357672214508057,0.085773330181837,0.0122740594670176,0.7175846099853516,0.6268426179885864,0.0883158668875694,0.0097046205773949
47,0.7471894323825836,0.656292200088501,0.0882044024765491,0.0107713364996016,0.7138413786888123,0.6239158511161804,0.0878882408142089,0.008149073459208
48,0.7395261526107788,0.653149425983429,0.0840562582015991,0.0092818136326968,0.7121571898460388,0.6226884126663208,0.0876811072230339,0.0071505373343825
49,0.7234736084938049,0.6339525580406189,0.08755399659276,0.0078681148588657,0.7111331820487976,0.6217557787895203,0.087677389383316,0.0067999097518622
50,0.7478044331073761,0.6390979886054993,0.106757253408432,0.0077968819532543,0.7108942270278931,0.6210996508598328,0.0877260714769363,0.0082741016522049
51,0.7040328979492188,0.6134063005447388,0.0882584229111671,0.0094727608375251,0.71112060546875,0.6208437085151672,0.0877942517399787,0.0099306944757699
52,0.6795719265937805,0.5883610248565674,0.0885620191693306,0.0105955367907881,0.7113359570503235,0.6203073263168335,0.0881657674908638,0.0114513775333762
53,0.7092511057853699,0.6116928160190582,0.0941999331116676,0.0134334550239145,0.7116587162017822,0.6194798946380615,0.0888968855142593,0.0131278578191995
54,0.6787754595279694,0.5873962044715881,0.0877297669649124,0.0145980068482458,0.7122658491134644,0.6190369129180908,0.0896135792136192,0.0144614484161138
55,0.7054655849933624,0.6151768565177917,0.0860504694283008,0.0169530548155307,0.7127562761306763,0.6191915273666382,0.089896336197853,0.0146736418828368
56,0.6450255513191223,0.5557361543178558,0.0858208499848842,0.0138741978444159,0.7115529179573059,0.6183233261108398,0.0898163914680481,0.013652735389769
57,0.6608149707317352,0.5637305676937103,0.0939038209617137,0.012722325976938,0.7104805111885071,0.6176645159721375,0.0897218734025955,0.0123765366151928
58,0.655543327331543,0.5656512975692749,0.0867444910109043,0.0125902313739061,0.7114010453224182,0.6189684867858887,0.0895273387432098,0.0116206491366028
59,0.6775442659854889,0.573173999786377,0.1013993471860885,0.0118836248293519,0.7119547128677368,0.6201570630073547,0.0890709459781646,0.0109067521989345
60,0.6791560649871826,0.584550142288208,0.0915707387030124,0.0121407201513648,0.7162535190582275,0.624875545501709,0.0887592285871505,0.0104748709127306
61,0.6464749276638031,0.5508707165718079,0.0929719507694244,0.0105289723724126,0.721003532409668,0.6297681331634521,0.0886725783348083,0.0102511690929532
62,0.6356057524681091,0.5361402630805969,0.0968373753130436,0.0105123985558748,0.7278071641921997,0.6365152597427368,0.0886183455586433,0.0106943193823099
63,0.6422612071037292,0.5498482584953308,0.0896080248057842,0.0112196509726345,0.7393751740455627,0.6481135487556458,0.0885064303874969,0.0110208634287118
64,0.6276662349700928,0.5361822247505188,0.0885232649743557,0.0118429511785507,0.7498829960823059,0.6585037708282471,0.0885834768414497,0.0111831147223711
65,0.6385819613933563,0.5406478047370911,0.0949454233050346,0.0119549776427447,0.7484062910079956,0.6569547653198242,0.0886686667799949,0.0111315576359629
66,0.5824923515319824,0.4912730902433395,0.0884945392608642,0.0108989239670336,0.7456854581832886,0.6539309024810791,0.0889966040849685,0.0110318465158343
67,0.6284498572349548,0.537929117679596,0.0875162258744239,0.0120179806835949,0.7490500807762146,0.6570327281951904,0.0893486514687538,0.0106747942045331
68,0.5866566598415375,0.4866566061973572,0.0973766222596168,0.0104936817660927,0.7508063316345215,0.6587127447128296,0.0894391983747482,0.010617502965033
69,0.5911744832992554,0.5046698898077011,0.0836557410657405,0.0113952551037073,0.744759202003479,0.6525750160217285,0.0894969031214714,0.0107491435483098
70,0.580190122127533,0.4904031008481979,0.0868098586797714,0.011908596381545,0.7412335276603699,0.6489440202713013,0.0897199511528015,0.0102783218026161
71,0.5741506814956665,0.4802719950675964,0.0911355018615722,0.0109726763330399,0.7460840344429016,0.6535082459449768,0.0901654288172721,0.0096414787694811
72,0.6038355827331543,0.4949552118778229,0.1060784049332141,0.0112079344689846,0.7590031623840332,0.6659621596336365,0.090596005320549,0.0097798509523272
73,0.5770407021045685,0.4816356301307678,0.0925497449934482,0.0114214103668928,0.7771703004837036,0.683924674987793,0.0908012092113494,0.0097774928435683
74,0.5441899597644806,0.4434250593185425,0.098307903856039,0.0098279193043708,0.7972012162208557,0.7036684155464172,0.0911149159073829,0.0096715195104479
75,0.53617262840271,0.4435124397277832,0.0901831723749637,0.0099081234075129,0.8164463043212891,0.7230119705200195,0.091020219027996,0.0096563594415783
76,0.5615567564964294,0.460570216178894,0.0984074473381042,0.0103163733147084,0.8234153389930725,0.7298765182495117,0.0909851118922233,0.0102147692814469
77,0.4967530965805053,0.4056476801633835,0.0885941870510578,0.0100448750890791,0.8261142373085022,0.7324641942977905,0.090945228934288,0.0108192469924688
78,0.4982193410396576,0.4043701589107513,0.0913252122700214,0.0100958934053778,0.8311188220977783,0.7375310659408569,0.0907032191753387,0.0115379719063639
79,0.4774945825338363,0.3876883536577225,0.0872146897017955,0.0103661706671118,0.8318113684654236,0.738566517829895,0.0903559029102325,0.011556027457118
80,0.4798636585474014,0.3856216520071029,0.0917574428021907,0.0099383129272609,0.8418235182762146,0.7491645812988281,0.0900134742259979,0.0105816135182976
81,0.5435248911380768,0.4465429782867431,0.0942202173173427,0.0110467267222702,0.8606768846511841,0.7685811519622803,0.0898429751396179,0.0090111074969172
82,0.4703252166509628,0.372698426246643,0.0956316851079464,0.0079805173445492,0.884634792804718,0.7926859855651855,0.0899591147899627,0.0079586533829569
83,0.4857081025838852,0.4027993083000183,0.0807801410555839,0.0085146538913249,0.913481056690216,0.8216263651847839,0.0900782123208046,0.0071059134788811
84,0.4624070972204208,0.3706613183021545,0.0900474116206169,0.0067934191320091,0.9300981760025024,0.8384398221969604,0.0899653360247612,0.006771967280656
85,0.4470564275979996,0.3681098520755768,0.0772014632821083,0.0069804415106773,0.9309369921684264,0.8396049737930298,0.0896652191877365,0.0066670626401901
86,0.4855542033910751,0.413385733962059,0.0700601041316986,0.0084335270803421,0.9244424700737,0.8333527445793152,0.089502215385437,0.0063500897958874
87,0.471859723329544,0.3746299147605896,0.0955443419516086,0.006741777760908,0.9125382900238036,0.8212912082672119,0.0896516144275665,0.0063819135539233
88,0.4349560141563415,0.3398647904396057,0.0934936963021755,0.0063900675158947,0.9029009342193604,0.8113768100738525,0.0897335261106491,0.0071623339317739
89,0.4970038533210754,0.405583992600441,0.0892304368317127,0.0087576392106711,0.9269186854362488,0.8353548049926758,0.089565023779869,0.0079952580854296
90,0.4299089163541794,0.3473032861948013,0.080595888197422,0.0080389119684696,0.956614315509796,0.8647860884666443,0.0896122232079505,0.0088638579472899
